SMILES,DC_exp
CCCCCCCCCCCC(=O)Oc1ccccc1,3.28
CCCCCCCCCCCCC,2.015319999980585
CCCCCCCCCCCCC(=O)OC,3.442
CCCCCCCCCCCCCC,2.028401499995446
CCCCCCCCCCCCCC(=O)OC,3.352
CCCCCCCCCCCCCC(=O)OCC,3.4752999999579015
CCCCCCCCCCCCCCC,2.0333459999936823
CCCCCCCCCCCCCCC(=O)OC,3.296
CCCCCCCCCCCCCCCC,2.0402460000227163
CCCCCCCCCCCCCCCC(=O)OCC,3.07
CCCCCCCCCCCCCCCCC,2.0526239907577506
CCCCCCCCCCCCCCCCCC(=O)O,2.3193605
CCCCCCCCCCCCCCCCCC(=O)OCCCC,3.081362487500016
CCCCCCCCCCCCCCCCCCC,2.0706
CCCCCCCCCCCCCCCCCCCCCC,2.084
CCCCCCCCCCCCCCCCCCOC(C)=O,3.1152250003015536
CCCCCCCCCCCCCCCCOC(C)=O,3.2402500003674675
CCCCCCCCCCCCCCO,4.917533948829451
CCCCCCCCCCCCO,5.82
CCCCCCCCCCCCOC(C)=O,3.6
CCCCCCCCCCO,7.530487439949997
CCCCCCCCCCOC(C)=O,3.75
CCCCCCCCCCOCCCCCCCCCC,2.6241647343749994
CCCCCCCCCO,8.599088257525011
CCCCCCCCCOC(C)=O,3.87
CCCCCCCCO,9.862941177000003
CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,4.01
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5.22
CCCCCCCCOC(C)=O,4.119596267799999
CCCCCCCCc1ccccc1,2.26
CCCCCCCO,11.321046929874992
CCCCCCCOC(C)=O,4.2
CCCCCCCc1ccccc1,2.26
CCCCCCO,12.5101900944
CCCCCCOC(=O)c1ccccc1,4.8
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,5.62
CCCCCCOC(C)=O,4.42
CCCCCCc1ccccc1,2.3
CCCCCO,14.692785714075008
CCCCCOC(=O)C=Cc1ccccc1,4.89
CCCCCOC(=O)CC,4.552
CCCCCOC(=O)CCC,4.08
CCCCCOC(=O)CCCC,4.076
CCCCCOC(=O)CCCCC,4.119662083835001
CCCCCOC(=O)c1ccccc1,5.07
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,6.0
CCCCCOC(=O)c1ccccc1O,6.25
CCCCCOC(C)=O,4.72970506277
CCCCCOC=O,5.7
CCCCCOCC,3.6
CCCCCOCCCCC,2.798
CCCCO,17.33231264945146
CCCCOC(=O)CC,4.838
CCCCOC(=O)CCC,4.390600001357047
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.54
CCCCOC(=O)c1ccccc1,5.52
CCCCOC(=O)c1ccccc1C(=O)OCCCC,6.481000000000001
CCCCOC(C)=O,4.994096372415001
CCCCOC=O,6.191403732199998
CCCCOCCCC,3.0472638414024997
CCCCOc1ccccc1,3.734
CCCCc1ccccc1,2.359
CCCO,20.523672342950015
CCCOC(=O)C=Cc1ccccc1,5.45
CCCOC(=O)CC,5.249
CCCOC(=O)CCC,4.3
CCCOC(=O)c1ccccc1,5.78
CCCOC(C)=O,5.52046666331
CCCOC=O,6.92
CCCOCCC,3.38
CCCc1ccccc1,2.3610890324332496
CCO,24.851953970316735
CCOC(=O)C(=O)OCC,8.130798723000002
CCOC(=O)C(C)O,15.706458375752504
CCOC(=O)C1CCCCC1,4.64
CCOC(=O)C=CC(=O)OCC,7.060662030434125
CCOC(=O)C=Cc1ccccc1,5.63
CCOC(=O)CC,5.76
CCOC(=O)CC(=O)OCC,7.55
CCOC(=O)CC(=O)c1ccccc1,13.5
CCOC(=O)CC(C)=O,14.0
CCOC(=O)CC(C)C,4.71
CCOC(=O)CCC(=O)OCC,6.026628796
CCOC(=O)CCCC(=O)OCC,6.659
CCOC(=O)CCCCC(=O)OCC,6.017078336
CCOC(=O)CCCCCCCC(=O)OCC,5.133
CCOC(=O)CCCCCCCCC(=O)OCC,4.995
CCOC(=O)Cc1ccccc1,5.32
CCOC(=O)OC,2.985
CCOC(=O)OCC,2.82
CCOC(=O)c1ccccc1,6.101976055490001
CCOC(=O)c1ccccc1C(=O)OCC,7.86
CCOC(=O)c1ccccc1O,8.70261475555025
CCOC(C)=O,5.986743976382502
CCOC(OCC)OCC,4.779
CCOC=O,8.33096605
CCOCC,4.23996015
CCOCCC(C)C,3.889690468750001
CCOCCO,13.38
CCOCCOCC,3.86637302428
CCOCOCC,2.527
CCOCc1ccccc1,3.9
CCOc1cccc2ccccc12,3.3
CCOc1ccccc1,4.179699487500002
CCc1cc(C)cc(C)c1,2.275
CCc1cc(C)cc(CC)c1,2.264
CCc1cc(CC)cc(CC)c1,2.256
CCc1ccc(C)cc1,2.265
CCc1ccc(CC)cc1,2.259
CCc1cccc(C)c1,2.365
CCc1cccc(CC)c1,2.369
CCc1ccccc1,2.4339100218750005
CCc1ccccc1C,2.595
CCc1ccccc1CC,2.594
CO,32.34
COC(=O)C1CCCCC1,4.87
COC(=O)CC(=O)OC,9.64981026668
COC(=O)CCC(=O)OC,7.15387678434
COC(=O)CCCC(=O)O,8.287397080137502
COC(=O)CCCC(=O)OC,7.768605016112501
COC(=O)CCCCC(=O)O,6.646365700879999
COC(=O)CCCCC(=O)OC,6.688426150735751
COC(=O)OC,3.087
