SMILES,name,tc_0C_W_mK,tc_10C_W_mK,tc_20C_W_mK,tc_30C_W_mK,tc_40C_W_mK,tc_50C_W_mK,tc_60C_W_mK,tc_70C_W_mK,tc_80C_W_mK,tc_90C_W_mK,tc_100C_W_mK
CN(C)c1ccc([N+](=O)[O-])cc1,"4-nitro-N,N-dimethylaniline",0.135512,0.13474534,0.133981655,0.133219285,0.1324586,0.131698915,0.130939915,0.1301806,0.129420915,0.128661285,0.127899
CCOC(=O)c1cccc(O)c1,ethyl 3-hydroxybenzoate,0.159479,0.15789482,0.15632975,0.1547866799999999,0.15326561,0.151766225,0.150288155,0.14883177,0.1473967,0.145983315,0.144588
CCc1ccc(N)c([N+](=O)[O-])c1,"benzenamine, 4-ethyl-2-nitro-",0.205049,0.203106365,0.20118398,0.19928165,0.19739669,0.195526785,0.19366925,0.19182177,0.189981975,0.18814792,0.186316
CCOC(=O)C=Cc1ccco1,ethyl 2-furanacrylate,0.176345,0.17461931,0.172892365,0.17116179,0.169425585,0.167681435,0.165926655,0.164159245,0.162376575,0.16057559,0.158757
CC1=CCC2C(=O)OC(=O)C2C1,"4-methyl-cyclohex-4-ene-1, 2-dicarboxylic acid anhydride",0.19652,0.194427005,0.192364085,0.190331905,0.188326465,0.186344395,0.1843830649999999,0.182438475,0.180506625,0.17858446,0.176669
COc1cccc(CC(=O)O)c1,3-methoxyphenylacetic acid,0.173397,0.17188272,0.17037072,0.168858405,0.16734446,0.165826885,0.1643043099999999,0.162775475,0.16123764,0.159690175,0.158133
CCOc1cccc(C=O)c1O,3-ethoxysalicylaldehyde,0.160111,0.158976995,0.157853145,0.156739925,0.155638075,0.154546855,0.153467005,0.152397785,0.15134025,0.150293715,0.149258
CCOc1cc(C=O)ccc1O,3-ethoxy-4-hydroxybenzaldehyde,0.175082,0.173424825,0.17178581,0.1701661099999999,0.16856641,0.16698671,0.16542701,0.163886995,0.16236661,0.160866595,0.159384
O=C(O)CCc1ccc(O)cc1,3-(4-hydroxyphenyl)propanoic acid,0.172533,0.170692495,0.168872425,0.16707467,0.16530023,0.16354916,0.161820405,0.16011465,0.15843221,0.15677314,0.155134
COc1ccccc1CC(=O)O,2-methoxyphenylacetic acid,0.171146,0.16969362,0.168241935,0.16679062,0.16533799,0.16388273,0.162423155,0.16095795,0.159485115,0.158002965,0.156511
