SMILES,name,FOM1_0C,FOM1_10C,FOM1_20C,FOM1_30C,FOM1_40C,FOM1_50C,FOM1_60C,FOM1_70C,FOM1_80C,FOM1_90C,FOM1_100C
O=C(CC(=O)OCc1ccccc1)OCc1ccccc1,dibenzyl malonate,29.30920355632924,32.405254392215795,35.74402394194396,39.15108446931164,42.610136973667586,46.10481829287226,49.62091051975126,53.1439781282654,56.662398832137086,60.162382987873926,63.73740148736504
C1CCC2(CCCCCC3(CC1)OCCO3)OCCO2,"1,4,12,15-tetraoxadispiro[4.5.4.5]eicosane",69.61590849767734,69.25431004984596,69.0141439822566,68.90181623268444,68.91079898957977,69.03284844274569,69.2606492418707,69.5838300607834,69.99611507287823,70.48583896715157,71.04383469154968
CCCCCCCOC(=O)Cc1ccc2ccccc2c1,"2-naphthaleneacetic acid, heptyl ester",49.153091806362305,53.2328114721869,57.44214813312468,61.57862998537846,65.63288586809063,69.59461500700911,73.45777635239409,77.21521468273929,80.86486145997061,84.4046612816002,87.91178990138864
CCCCCCCOC(=O)Cc1cccc2ccccc12,"1-naphthaleneacetic acid, heptyl ester",49.25783700267819,53.36334978544015,57.600640615651024,61.76561908377503,65.84734637613678,69.83473194608219,73.7231921715092,77.50620878216074,81.17730422082808,84.73695681841576,88.26550748360671
CC(C)COC(=O)C1CCCCC1C(=O)OCC(C)C,diisobutyl hexahydrophthalate,33.30782626467617,36.4420090995682,39.765988636630645,43.112919160023544,46.467180500484965,49.81403412641928,53.138680293985225,56.42856715215457,59.672408398387766,62.86139987678331,66.07318886966583
CC(C)CC(C)OC(=O)C=CC(=O)OC(C)CC(C)C,"bis(1,3-dimethylbutyl) (Z)-2-butenedioate",38.3999156107872,42.00265568679188,45.81392406255217,49.6393346241513,53.46044250684967,57.25807935296834,61.02048758550109,64.73151630597232,68.37450319112052,71.94822444888096,75.52630207720857
CCC[C@H]1CC[C@H](c2ccc(SC(F)F)cc2)CC1,trans-1-[(difluoromethyl)thio]-4-(4-propylcyclohexyl)benzene,43.38717958950418,45.08239246650338,46.86273801707511,48.6861208044232,50.53843616922352,52.406844169067675,54.284845306842016,56.162937426085705,58.03243790787583,59.88637701711745,61.74993343027402
CCCCCCCCCCCCCCCCCOC=O,heptadecyl methanoate,44.21325042895772,47.84228903619221,51.63913935124433,55.42400064903413,59.182429289727466,62.9001776311773,66.56250651032535,70.15922738028202,73.68029300822377,77.11495600163948,80.54378130304092
CCCCCCCCCCCCCCCCC(=O)OC,methyl heptadecanoate,46.465206246277766,52.02802983369618,57.27000084325443,61.87557740035689,65.98341469989262,69.69179587647768,73.06766059790607,76.17066035546311,79.03435521968454,81.70508300019696,84.23820094155343
CCCCCCCCCCCC(CCC)COC(C)=O,2-propyltridecyl ethanoate,39.98103810761776,43.190867046606215,46.53785665260179,49.86827190541308,53.16739666250158,56.42241333924633,59.62385240715276,62.75832796447623,65.82333017050078,68.8049852303307,71.77255961409632
