SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
CCCCNC1CCCCC1C,N-butyl-2-methylcyclohexylamine,5.153,4.148,3.381,2.806,2.365,2.021,1.748,1.527,1.347,1.198,1.071
CCCCCCN1CCCCC1,"piperidine, N-hexyl-",7.233,5.812,4.763,3.998,3.421,2.972,2.615,2.325,2.084,1.883,1.708
CCN(CC)C1CCCCC1C,"N,N-diethyl-2-methyl-cyclohexylamine",3.02,2.478,2.065,1.756,1.517,1.328,1.176,1.051,0.946,0.858,0.781
C=CCNC(C)(C)CC(C)(C)C,"N-(2-propenyl)-1,1,3,3-tetramethylbutylamine",6.952,5.343,4.15,3.287,2.649,2.17,1.802,1.517,1.292,1.112,0.964
C=CCCC(CC)N(CC)CC,5-diethylamino-1-heptene,3.047,2.464,2.011,1.668,1.402,1.194,1.029,0.896,0.788,0.699,0.624
CCC=CCCCN(CC)CC,"3-heptene, 7-diethylamino-",2.38,1.95,1.624,1.38,1.191,1.043,0.923,0.824,0.742,0.673,0.612
CC=CCCCCN(CC)CC,7-diethylamino-2-heptene,2.333,1.911,1.592,1.353,1.169,1.024,0.907,0.811,0.731,0.664,0.605
FC(F)C(Cl)(Cl)Cl,"1,1,1-trichloro-2,2-difluoroethane",0.978,0.828,0.707,0.613,0.537,0.476,0.426,0.385,0.35,0.321,0.295
FC(F)(Cl)C(Cl)Cl,"1,2,2-trichloro-1,1-difluoroethane",0.799,0.676,0.579,0.502,0.441,0.392,0.352,0.319,0.291,0.268,0.248
FC(Cl)C(F)(Cl)Cl,freon 122a,0.886,0.75,0.641,0.555,0.487,0.433,0.388,0.351,0.32,0.294,0.271
FC(Cl)(Cl)SCl,dichlorofluoromethanesulfenyl chloride,1.238,1.038,0.879,0.756,0.658,0.579,0.514,0.461,0.416,0.379,0.346
CC(=O)Nc1ccc(Cl)cc1,N(4-chlorophenyl)ethanamide,257.465,143.017,81.771,50.045,32.42,22.032,15.591,11.422,8.619,6.673,5.244
CC(=O)Nc1ccccc1Cl,N-(2-chlorophenyl)acetamide,70.997,48.99,34.212,24.589,18.131,13.678,10.532,8.261,6.588,5.333,4.354
CC(=O)Nc1cccc(Cl)c1,"ethanamide, N-(3-chlorophenyl)-",71.976,50.003,35.124,25.357,18.759,14.186,10.942,8.591,6.855,5.551,4.531
CC(=O)I,acetyl iodide,0.956,0.783,0.649,0.546,0.467,0.404,0.354,0.313,0.279,0.252,0.228
CCCI,iodopropane,0.941,0.778,0.65,0.551,0.474,0.413,0.363,0.322,0.289,0.26,0.236
CC(C)I,2-iodopropane,0.504,0.45,0.405,0.367,0.336,0.308,0.285,0.264,0.245,0.228,0.213
FC(F)C(F)(F)C(F)(F)F,1H-perfluoropropane,0.207,0.188,0.172,0.16,0.149,0.141,0.135,0.13,0.128,0.129,0.137
