SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
CC(C)(C)[C@H]1CO[C@H](C)OC1,"m-dioxane, 5-tert-butyl-2-methyl-, trans-",7.188,5.635,4.462,3.597,2.947,2.45,2.064,1.76,1.517,1.321,1.158
CCCCC1COC(C)OC1,"cis-5-butyl-2-methyl-1,3-dioxane",3.373,2.769,2.315,1.977,1.717,1.511,1.345,1.208,1.092,0.994,0.908
CC(C)(C)[C@H]1CO[C@@H](C)OC1,"cis-5-(1,1-dimethylethyl)-2-methyl-1,3-dioxane",7.188,5.635,4.462,3.597,2.947,2.45,2.064,1.76,1.517,1.321,1.158
CC(C)(C)[C@H]1OC[C@@H](C)CO1,"cis-2-(1,1-dimethylethyl)-5-methyl-1,3-dioxane",6.314,4.975,3.961,3.209,2.642,2.207,1.868,1.599,1.385,1.211,1.065
CC1CCOC(C)(C(C)C)O1,"trans-2,4-dimethyl-2-(1-methylethyl)- 1,3-dioxane",4.211,3.431,2.822,2.356,1.994,1.709,1.482,1.298,1.147,1.023,0.917
CC1OC(C(C)(C)C)OC1C,"syn-4,5-dimethyl-2-(1,1-dimethylethyl)-1,3-dioxolane",3.876,3.079,2.473,2.022,1.68,1.415,1.207,1.042,0.909,0.8,0.708
CCCCC(C)CCC(=O)O,l-4-methyloctanoic acid,18.728,14.017,10.602,8.19,6.448,5.164,4.199,3.463,2.893,2.444,2.08
CCCC[C@H]1CO[C@H](C)OC1,"trans-5-butyl-2-methyl-1,3-dioxane",3.367,2.768,2.316,1.979,1.719,1.513,1.346,1.208,1.092,0.994,0.908
CCOC(=O)CC(C)C(C)C,"ethyl 3,4-dimethylpentanoate",2.693,2.197,1.81,1.513,1.283,1.101,0.956,0.838,0.742,0.662,0.594
CCCCOC(=O)CCCC,butyl pentanoate,2.248,1.855,1.558,1.334,1.162,1.025,0.913,0.821,0.744,0.678,0.621
CCCCCC(=O)OC(C)C,1-methylethyl hexanoate,1.941,1.604,1.347,1.154,1.004,0.886,0.791,0.712,0.647,0.592,0.544
CC(C)OC(=O)CC(C)(C)C,"1-methylethyl 3,3-dimethylbutanoate",2.873,2.355,1.949,1.637,1.393,1.201,1.046,0.921,0.818,0.732,0.66
CCCC(C)OC(=O)C(C)C,1-methylbutyl 2-methylpropanoate,2.32,1.899,1.569,1.316,1.119,0.963,0.839,0.737,0.654,0.585,0.527
CCCC(=O)OC(CC)CC,1-ethylpropyl butanoate,2.997,2.428,1.986,1.65,1.39,1.186,1.024,0.893,0.786,0.699,0.624
CCC(CC)OC(=O)C(C)C,1-ethylpropyl 2-methylpropanoate,2.32,1.899,1.569,1.316,1.119,0.963,0.839,0.737,0.654,0.585,0.527
C=COCCOCCC(C)C,1-(3-methylbutoxy)-2-vinyloxyethane,2.971,2.432,2.009,1.685,1.432,1.232,1.072,0.942,0.836,0.748,0.673
CCCC(OC(C)=O)C(C)C,1-(1-methylethyl)butyl ethanoate,2.473,2.024,1.673,1.403,1.193,1.027,0.894,0.786,0.697,0.624,0.562
CCC(OC(C)=O)C(C)(C)C,"1-(1,1-dimethylethyl)propyl acetate",2.344,1.931,1.607,1.357,1.161,1.005,0.88,0.778,0.694,0.624,0.565
CC(=O)OC(C)CCC(C)C,"1,4-dimethylpentyl ethanoate",2.481,2.033,1.681,1.411,1.2,1.033,0.9,0.791,0.702,0.629,0.566
CCCCCCC(C)OC=O,1-methylheptyl methanoate,6.0,4.677,3.686,2.959,2.417,2.004,1.684,1.433,1.233,1.071,0.937
CCCCCC1(C)OCCO1,"1,3-dioxolane, 2-methyl-2-pentyl-",3.309,2.725,2.287,1.961,1.709,1.51,1.348,1.214,1.1,1.003,0.918
C[C@@H]1CCO[C@@H](C(C)(C)C)O1,"1,3-dioxane, 2-(1,1-dimethylethyl)-4-methyl-, trans-",6.543,5.145,4.089,3.308,2.719,2.268,1.917,1.639,1.417,1.237,1.087
CC(=O)OC(C)CC(C)(C)C,"1,3,3-trimethylbutyl ethanoate",2.954,2.416,1.995,1.672,1.421,1.222,1.063,0.934,0.828,0.741,0.666
CC(C)C(=O)OC(C)C(C)C,"1,2-dimethylpropyl 2-methylpropanoate",2.006,1.651,1.372,1.157,0.989,0.855,0.748,0.66,0.588,0.529,0.478
CCC(C)(C)OC(=O)C(C)C,"1,1-dimethylpropyl 2-methylpropanoate",2.766,2.26,1.864,1.561,1.325,1.139,0.99,0.87,0.771,0.689,0.619
CCC(C)C(=O)OC(C)(C)C,"1,1-dimethylethyl 2-methylbutanoate",2.825,2.306,1.9,1.59,1.349,1.158,1.006,0.883,0.782,0.698,0.627
CC(C)(C)OC(=O)C(C)(C)C,"1,1-dimethylethyl 2,2-dimethylpropanoate",4.394,3.475,2.778,2.259,1.868,1.566,1.331,1.144,0.995,0.874,0.772
CCC(CC)O/C(C)=C\OC,(Z)-1-methoxy-2-(1-ethylpropoxy)propene,3.059,2.502,2.066,1.732,1.472,1.266,1.102,0.968,0.859,0.768,0.691
CCC(CC)O/C(C)=C/OC,(E)-1-methoxy-2-(1-ethylpropoxy)propene,3.059,2.502,2.066,1.732,1.472,1.266,1.102,0.968,0.859,0.768,0.691
CCCC(CC)C(=O)OCC,ethyl 2-ethylpentanoate,3.309,2.68,2.192,1.821,1.534,1.309,1.13,0.985,0.868,0.771,0.688
CC(C)(C)[C@H]1OC[C@H](C)CO1,"1,3-dioxane, 2-(1,1-dimethylethyl)-5-methyl-, trans-",6.314,4.975,3.961,3.209,2.642,2.207,1.868,1.599,1.385,1.211,1.065
CCCCC(C)OC(=O)CC,1-methylpentyl propanoate,3.291,2.668,2.184,1.815,1.531,1.307,1.129,0.986,0.869,0.773,0.691
CC(=O)OCC(C)C(C)(C)C,"2,3,3-trimethylbutyl ethanoate",3.535,2.869,2.35,1.955,1.649,1.409,1.217,1.062,0.936,0.833,0.745
CCCCOC(=O)CC(C)C,butyl 3-methylbutanoate,3.187,2.586,2.119,1.764,1.488,1.272,1.099,0.96,0.846,0.752,0.673
CCC(C)OC(=O)C(C)(C)C,"1-methylpropyl 2,2-dimethylpropanoate",2.825,2.306,1.9,1.59,1.349,1.158,1.006,0.883,0.782,0.698,0.627
CCCCOC(=O)C(C)(C)C,"butyl 2,2-dimethylpropanoate",4.201,3.324,2.657,2.161,1.786,1.497,1.271,1.092,0.948,0.832,0.734
CC(C)COC(=O)CC(C)C,"butanoic acid, 3-methyl-, 2-methylpropyl ester",2.578,2.107,1.738,1.456,1.236,1.062,0.923,0.81,0.718,0.642,0.577
CC(C)CC(=O)OC(C)(C)C,"butanoic acid, 3-methyl-, 1,1-dimethylethyl ester",2.656,2.176,1.801,1.513,1.288,1.11,0.967,0.851,0.756,0.677,0.61
CCC(CC)(CC)CC(=O)O,"3,3-diethylpentanoic acid",32.446,23.144,16.679,12.32,9.306,7.173,5.631,4.495,3.644,2.995,2.482
CC(C)C1(C(C)C)OCCO1,"2,2-diisopropyl-1,3-dioxolane",3.812,3.112,2.566,2.149,1.824,1.568,1.363,1.196,1.06,0.947,0.851
C=COCCOCCCCC,1-pentoxy-2-vinyloxyethane,2.494,2.062,1.735,1.489,1.298,1.147,1.024,0.922,0.836,0.762,0.698
CCCCCCCCC(=O)O,nonanoic acid,18.314,12.539,8.92,6.665,5.171,4.133,3.383,2.824,2.396,2.061,1.789
CCCCCCCCOC=O,octyl methanoate,2.408,2.02,1.726,1.504,1.332,1.195,1.082,0.988,0.908,0.838,0.777
CCC(C)OC(=O)CC(C)C,"butanoic acid, 3-methyl-, 1-methylpropyl ester",2.557,2.093,1.73,1.451,1.234,1.062,0.924,0.813,0.721,0.645,0.581
CC(C)CCCC(C)C(=O)O,"2,6-dimethylheptanoic acid",15.055,11.357,8.655,6.732,5.333,4.295,3.512,2.91,2.442,2.073,1.771
CCCCC1(C)OCCCO1,"2-butyl-2-methyl-1,3-dioxane",8.455,6.542,5.115,4.075,3.303,2.719,2.269,1.918,1.64,1.418,1.234
CC(CO)(CO)C1CCCC1,"2-cyclopentyl-2-methyl-1,3-propanediol",428.078,243.626,142.317,88.474,57.933,39.63,28.131,20.61,15.515,11.957,9.334
CCC(C)COC(=O)C(C)C,2-methylbutyl 2-methylpropanoate,2.326,1.903,1.573,1.319,1.122,0.966,0.84,0.739,0.655,0.587,0.528
CC(C)COC(=O)C(C)(C)C,"2-methylpropyl 2,2-dimethylpropanoate",2.581,2.115,1.75,1.47,1.251,1.078,0.94,0.827,0.735,0.658,0.593
CCC(COC(C)=O)C(C)C,2-ethyl-3-methylbutyl ethanoate,2.667,2.176,1.792,1.499,1.271,1.091,0.947,0.83,0.735,0.656,0.589
CCCC(=O)OC(C)CCC,2-pentyl butyrate,3.273,2.653,2.172,1.806,1.522,1.3,1.123,0.98,0.864,0.768,0.687
CCC(C)(C)C(C)(C)C(=O)O,"2,2,3,3-tetramethylpentanoic acid",30.643,22.152,16.178,12.097,9.239,7.192,5.696,4.582,3.739,3.09,2.573
COC(=O)C(C)CC(C)(C)C,"2,4,4,4-tetramethylpentanoic acid methyl ester",2.701,2.217,1.837,1.544,1.315,1.134,0.989,0.871,0.774,0.694,0.625
CCCCOC(C)C(=O)CC,2-butoxy-3-pentanone,1.865,1.534,1.275,1.076,0.92,0.797,0.698,0.617,0.551,0.496,0.449
CCCCCCCCC=CF,(Z)-1-fluoro-1-decene,1.561,1.339,1.168,1.038,0.935,0.851,0.781,0.722,0.671,0.626,0.586
CCCCCCCC/C=C/F,"1-Decene, 1-fluoro-, (E)-",1.561,1.339,1.168,1.038,0.935,0.851,0.781,0.722,0.671,0.626,0.586
CCC(O)(CC)CCC(C)C,3-ethyl-6-methyl-3-heptanol,29.619,19.964,13.585,9.517,6.843,5.038,3.789,2.906,2.268,1.798,1.438
CCC(O)CCC(CC)CC,"3-octanol, 6-ethyl-",30.462,20.44,13.833,9.634,6.886,5.039,3.768,2.872,2.229,1.759,1.399
CC(C)CCCCC(C)CO,"2,7-dimethyl-1-octanol",117.766,72.896,45.435,29.342,19.562,13.42,9.448,6.809,5.013,3.763,2.849
CCC(C)CC(C)CCCO,"4,6-dimethyl-1-octanol",185.633,111.82,67.873,42.842,27.998,18.872,13.078,9.292,6.751,5.005,3.743
CC(C)CC(O)CC(C)(C)C,"4-heptanol, 2,2,6-trimethyl-",23.974,16.295,11.178,7.886,5.707,4.225,3.195,2.462,1.931,1.539,1.236
CCC(C)CC(O)C(C)CC,"3,6-dimethyl-4-octanol",34.034,22.682,15.257,10.573,7.526,5.488,4.091,3.11,2.407,1.895,1.503
CCCC(C)(O)CCC(C)C,"4,7-dimethyl-4-octanol",29.394,19.843,13.519,9.477,6.818,5.021,3.776,2.896,2.26,1.793,1.434
CC(C)CCCC(O)C(C)C,"2,7-dimethyl-3-octanol",27.588,18.591,12.643,8.849,6.356,4.674,3.511,2.689,2.096,1.66,1.326
CCC(C)CCCCC(C)O,"2-nonanol, 7-methyl-",53.976,35.168,23.139,15.727,11.003,7.9,5.805,4.356,3.331,2.591,2.033
CCC(C)(O)CCCC(C)C,"3-octanol, 3,7-dimethyl-, (.+-.)-",30.954,20.75,14.056,9.814,7.041,5.175,3.886,2.977,2.32,1.838,1.468
CCCC(O)CCC(C)CC,7-methyl-4-nonanol,38.855,25.772,17.247,11.894,8.426,6.117,4.54,3.437,2.651,2.078,1.643
CCC(C)CCC(C)(O)CC,"3,6-dimethyl-3-octanol",33.772,22.587,15.262,10.63,7.607,5.577,4.18,3.195,2.486,1.966,1.568
CCC(C)CCCCCCO,7-methyl-1-nonanol,129.249,79.668,49.448,31.815,21.139,14.459,10.151,7.297,5.359,4.013,3.032
CC(C)CCCCC(C)(C)O,"2,7-dimethyl-2-octanol",34.958,23.418,15.84,11.037,7.898,5.79,4.337,3.313,2.576,2.036,1.622
CC(C)CCC(C)(C)C(C)O,"3,3,6-trimethyl-2-heptanol",33.997,22.769,15.387,10.708,7.65,5.598,4.185,3.191,2.477,1.954,1.555
CCC(C)(C)C(C)(O)C(C)C,"3-hexanol, 2,3,4,4-tetramethyl-",10.08,8.549,7.183,6.007,5.012,4.177,3.482,2.907,2.432,2.04,1.709
CCC(O)(CC)CC(C)(C)C,"3-hexanol, 3-ethyl-5,5-dimethyl-",36.199,23.784,15.783,10.814,7.625,5.516,4.084,3.087,2.378,1.864,1.474
CCC(C)(O)C(C)C(C)(C)C,"3,4,5,5-tetramethyl-3-hexanol",9.968,8.342,6.929,5.741,4.753,3.938,3.268,2.719,2.269,1.9,1.59
CC(C)CCCC(C)CCO,"DL-3,7-dimethyl-1-octanol",113.103,70.102,43.751,28.285,18.875,12.96,9.131,6.585,4.851,3.644,2.76
CCCCCC(CC)OCC,3-ethoxyoctane,3.214,2.62,2.156,1.801,1.525,1.308,1.134,0.993,0.878,0.783,0.702
CC(C)CC(C)(O)C(C)(C)C,"3-hexanol, 2,2,3,5-tetramethyl-",24.846,16.939,11.662,8.26,6.001,4.461,3.386,2.619,2.061,1.647,1.327
CC(C)(C)CC(O)C(C)(C)C,"3-hexanol, 2,2,5,5-tetramethyl-",20.278,13.926,9.66,6.89,5.041,3.773,2.883,2.245,1.779,1.431,1.162
CC(C)CCC(O)CC(C)C,"2,7-dimethyl-4-octanol",33.736,22.529,15.188,10.551,7.528,5.503,4.111,3.132,2.43,1.916,1.523
CCCC(C)CCCC(C)O,"2-nonanol, 6-methyl-",42.721,28.266,18.87,12.986,9.184,6.656,4.932,3.73,2.872,2.249,1.776
CC(O)CC(C)CC(C)(C)C,"2-heptanol, 4,6,6-trimethyl-",30.544,20.575,13.983,9.779,7.018,5.155,3.869,2.96,2.305,1.825,1.456
CCCCC(C)CCC(C)O,"2-nonanol, 5-methyl-",37.85,25.138,16.844,11.628,8.246,5.992,4.45,3.372,2.602,2.042,1.615
CCC(C)(C)CC(C)(O)CC,"3,5,5-trimethyl-3-heptanol",14.326,10.973,8.419,6.53,5.118,4.051,3.237,2.61,2.122,1.74,1.43
CCCC(C)CC(C)(O)CC,"3,5-dimethyl-3-octanol",27.872,18.81,12.823,9.003,6.489,4.79,3.611,2.776,2.171,1.726,1.383
CCC(CC)CC(O)C(C)C,"3-heptanol, 5-ethyl-2-methyl-",24.621,16.653,11.365,7.979,5.747,4.237,3.19,2.449,1.913,1.519,1.216
CCC(O)C(C)C(CC)CC,"3-heptanol, 5-ethyl-4-methyl-",29.911,20.054,13.566,9.447,6.754,4.945,3.699,2.821,2.191,1.729,1.376
CC(C)C(O)C(C)(C)C(C)C,"3-hexanol, 2,4,4,5-tetramethyl-",27.201,18.344,12.49,8.755,6.3,4.641,3.493,2.68,2.093,1.66,1.328
CCCCC(O)CCC(C)C,2-methyl-5-nonanol,40.549,26.898,18.005,12.421,8.804,6.394,4.748,3.597,2.775,2.177,1.722
CC(C)CCCCCCCO,8-methyl-1-nonanol,120.993,74.477,46.18,29.695,19.727,13.492,9.474,6.812,5.004,3.749,2.832
CCCCCC(C)CCCO,4-methyl-1-nonanol,126.165,77.86,48.381,31.159,20.721,14.183,9.964,7.167,5.267,3.946,2.982
CCCCCC(CO)CCC,2-propyl-1-heptanol,51.861,30.284,18.326,11.843,8.066,5.734,4.223,3.203,2.49,1.977,1.588
CCCCC(O)CC(C)CC,3-methyl-5-nonanol,43.051,28.403,18.911,12.984,9.164,6.63,4.906,3.704,2.849,2.228,1.757
CCC(C)(O)C(C)(C)C(C)C,"3,4,4,5-tetramethyl-3-hexanol",41.128,27.34,18.377,12.75,9.097,6.654,4.976,3.797,2.949,2.328,1.853
CCCCC(C)C(O)CCC,"4-nonanol, 5-methyl-",35.869,23.912,16.083,11.141,7.925,5.775,4.3,3.266,2.526,1.986,1.575
CCCCC(C)CCCCO,5-methyl-1-nonanol,124.372,76.727,47.676,30.713,20.435,13.997,9.84,7.083,5.209,3.907,2.955
CCCC(C)(O)CC(C)(C)C,"4-heptanol, 2,2,4-trimethyl-",43.34,28.344,18.727,12.782,8.981,6.475,4.778,3.6,2.763,2.158,1.699
CCCCCCC(C)(O)CC,"2-octanol, 2-ethyl-",51.479,33.388,21.842,14.754,10.257,7.318,5.345,3.987,3.033,2.348,1.833
CCC(C)C(C)(O)CC(C)C,"4-heptanol, 2,4,5-trimethyl-",26.986,18.228,12.43,8.725,6.286,4.636,3.492,2.682,2.096,1.665,1.333
CCC(C)(CC)C(O)C(C)C,"3-hexanol, 4-ethyl-2,4-dimethyl-",26.795,18.078,12.318,8.644,6.227,4.593,3.461,2.659,2.078,1.651,1.322
CCCC(C)C(O)CC(C)C,"4-octanol, 2,5-dimethyl-",28.807,19.374,13.148,9.184,6.584,4.833,3.624,2.771,2.156,1.706,1.361
CCCCCC(C)(C)CCO,"3,3-dimethyl-1-octanol",188.737,112.705,67.726,42.318,27.378,18.274,12.544,8.831,6.361,4.678,3.47
CCCCC(C)(O)C(C)CC,"3,4-dimethyl-4-octanol",30.97,20.754,14.054,9.812,7.038,5.172,3.885,2.975,2.319,1.837,1.467
CCCC(C)C(C)CCCO,"4,5-dimethyl-1-octanol",215.002,128.585,77.497,48.615,31.597,21.195,14.623,10.346,7.489,5.533,4.123
CCCC(C)(O)CC(C)CC,"4-octanol, 4,6-dimethyl-",32.893,22.032,14.915,10.409,7.465,5.485,4.119,3.154,2.459,1.948,1.555
CC(C)CC(C)(O)CC(C)C,"4-heptanol, 2,4,6-trimethyl-",24.317,16.45,11.257,7.941,5.754,4.27,3.236,2.5,1.965,1.568,1.261
CCCCCCC(C)C(C)O,"2-nonanol, 3-methyl-",34.809,23.234,15.641,10.842,7.715,5.623,4.188,3.181,2.461,1.935,1.535
CCCCCC(O)CC(C)C,2-methyl-4-nonanol,36.952,24.613,16.54,11.449,8.139,5.927,4.412,3.35,2.59,2.035,1.613
CCCCCCC(O)C(C)C,2-methyl-3-nonanol,39.757,26.372,17.656,12.184,8.639,6.278,4.664,3.535,2.729,2.141,1.694
CCCC(O)(CCC)CCC,tripropylcarbinol,48.053,31.251,20.497,13.877,9.666,6.909,5.054,3.776,2.876,2.229,1.743
CCCCCCC(O)CCC,4-decanol,43.559,28.84,19.258,13.25,9.365,6.782,5.022,3.793,2.919,2.284,1.802
CCCCCC(O)CCCC,5-decanol,46.877,30.933,20.591,14.128,9.962,7.2,5.321,4.012,3.082,2.408,1.897
CCCCCCCC(O)CC,dl-decan-3-ol,51.436,33.824,22.435,15.343,10.786,7.773,5.729,4.309,3.302,2.574,2.023
CCC(O)(C(C)C)C(C)(C)C,"3-pentanol, 3-ethyl-2,2,4-trimethyl-",28.544,19.248,13.135,9.246,6.688,4.957,3.753,2.896,2.274,1.814,1.458
CCCCCOC(C)(C)CC,pentyl tert-pentyl ether,4.781,3.759,2.985,2.412,1.981,1.65,1.393,1.19,1.028,0.897,0.788
CCCCC(O)(CC)C(C)C,3-ethyl-2-methyl-3-heptanol,29.583,19.871,13.494,9.449,6.799,5.011,3.775,2.899,2.266,1.8,1.441
CCCC(C)C(O)(CC)CC,3-ethyl-4-methyl-3-heptanol,23.36,15.885,10.907,7.705,5.585,4.142,3.138,2.422,1.902,1.518,1.221
CCCCCCCC(C)OC,methyl 1-methyloctyl ether,3.313,2.681,2.19,1.817,1.528,1.302,1.122,0.977,0.859,0.762,0.68
CCCCCC(C)(O)CCC,"4-nonanol, 4-methyl-",55.491,35.913,23.431,15.781,10.938,7.78,5.665,4.214,3.196,2.468,1.922
CCCCC(CCC)COC,methyl 2-propylhexyl ether,1.818,1.5,1.25,1.057,0.907,0.788,0.693,0.616,0.552,0.499,0.454
CCCCCCC(C)COC,methyl 2-methyloctyl ether,3.236,2.625,2.149,1.787,1.507,1.286,1.111,0.969,0.854,0.758,0.678
CC(C)CCCCCC(C)O,8-methyl-2-nonanol,42.842,28.249,18.802,12.907,9.11,6.592,4.879,3.685,2.835,2.218,1.749
CC(O)C(C)(C)CC(C)(C)C,"2-hexanol, 3,3,5,5-tetramethyl-",28.855,19.507,13.322,9.369,6.765,5.002,3.779,2.911,2.282,1.818,1.461
CCC(C)(C)C(C)C(C)(C)O,"2,3,4,4-tetramethyl-2-hexanol",24.57,16.672,11.447,8.101,5.888,4.383,3.332,2.581,2.034,1.628,1.313
CCCCCCCCOCC,ethyl octyl ether,2.306,1.905,1.6,1.37,1.192,1.051,0.936,0.841,0.761,0.694,0.634
CCCCCC(CC)CCO,"1-octanol, 3-ethyl-",147.038,89.764,55.189,35.215,23.227,15.782,11.014,7.874,5.754,4.289,3.224
CCCCCCCOCCC,heptyl propyl ether,2.342,1.935,1.625,1.391,1.21,1.066,0.949,0.852,0.771,0.702,0.642
CC(C)(C)CCCCCCO,"1-octanol, 7,7-dimethyl-",265.523,156.655,92.928,57.359,36.684,24.22,16.456,11.474,8.19,5.972,4.392
CCC(C)C(CO)C(C)CC,"1-pentanol, 2-sec-butyl-3-methyl-",114.754,71.02,44.271,28.601,19.078,13.097,9.227,6.654,4.903,3.682,2.79
CCCC(C)OC(C)CCC,"2,2'-oxybispentane",2.342,1.924,1.596,1.344,1.146,0.989,0.863,0.761,0.677,0.607,0.548
CC(C)(C)C(CO)C(C)(C)C,"2-(1,1-dimethylethyl)-3,3-dimethyl-1-butanol",86.243,54.254,34.428,22.631,15.351,10.709,7.662,5.608,4.19,3.19,2.45
CCC(C)CCCC(C)CO,"1-octanol, 2,6-dimethyl-",124.002,76.611,47.654,30.715,20.439,13.997,9.838,7.079,5.203,3.9,2.948
CCCCCCCCC(C)O,2-decanol,39.65,21.283,12.004,7.411,4.92,3.462,2.554,1.958,1.549,1.258,1.038
CCCCCCOC(C)CC,3-methyl-4-oxadecane,2.908,2.371,1.951,1.63,1.381,1.184,1.027,0.899,0.795,0.71,0.637
CCCCC(C)(O)CCCC,5-methyl-5-nonanol,55.861,36.172,23.606,15.898,11.016,7.832,5.7,4.238,3.213,2.48,1.93
CCCCOC(C)CCCC,butyl 1-methylpentyl ether,2.907,2.368,1.948,1.627,1.378,1.182,1.025,0.899,0.795,0.709,0.636
CC(C)CCOCCC(C)C,di-(3-methylbutyl) ether,1.846,1.546,1.313,1.133,0.992,0.879,0.787,0.71,0.645,0.59,0.542
CCC(CC)OC(CC)CC,di-3-pentyl ether,2.442,1.999,1.653,1.387,1.181,1.017,0.886,0.78,0.693,0.621,0.56
CCCCCOCCCCC,dipentyl ether,1.981,1.648,1.392,1.197,1.045,0.923,0.825,0.743,0.675,0.618,0.568
CCCCCCC(C)CCO,3-hexylbutanol-1,124.667,76.948,47.824,30.804,20.488,14.025,9.854,7.089,5.21,3.904,2.951
CCCCCCOC(C)(C)C,"ether, 1,1-dimethylethyl hexyl",4.171,3.304,2.643,2.151,1.779,1.491,1.267,1.089,0.946,0.829,0.732
CCCCCCCC(C)CO,"1-nonanol, 2-methyl-",242.804,145.515,87.837,55.148,35.856,24.051,16.59,11.734,8.489,6.269,4.669
CC(C)CCC(CO)C(C)C,"1-hexanol, 5-methyl-2-(1-methylethyl)-",87.914,54.889,34.551,22.537,15.175,10.512,7.47,5.433,4.034,3.052,2.33
CCCCCCC(CC)CO,(.+-.)-2-ethyloctanol,117.972,72.864,45.305,29.188,19.413,13.288,9.335,6.713,4.933,3.696,2.793
CCCCCCCC[C@H](C)O,(R)-2-decanol,49.567,32.422,21.41,14.597,10.239,7.369,5.427,4.08,3.126,2.436,1.915
CCCCC(C)CC(C)(C)O,"1,1,3-trimethyl-1-heptanol",29.318,19.758,13.451,9.433,6.793,5.009,3.774,2.898,2.266,1.799,1.441
CC(C)(C)C(C)(O)C(C)(C)C,"1,1-di-tert-butylethanol",59.284,37.734,24.295,16.226,11.194,7.948,5.79,4.317,3.286,2.549,1.996
CCCCCCCCCOC,1-methoxynonane,2.4,1.977,1.656,1.415,1.228,1.081,0.962,0.863,0.78,0.71,0.649
CCCCCCCC(C)(C)O,"1,1-dimethyl-1-octanol",65.346,42.009,27.235,18.246,12.588,8.917,6.47,4.797,3.627,2.792,2.168
CCCCCCCCCCO,1-decanol,42.094,26.741,17.336,11.75,8.273,6.019,4.505,3.457,2.711,2.168,1.753
CCCCCCC(CC)OC,1-ethylheptyl methyl ether,3.172,2.574,2.109,1.755,1.48,1.265,1.093,0.954,0.841,0.748,0.669
CCC(CC)CC(CC)CO,"1-hexanol, 2,4-diethyl-",91.307,57.095,35.934,23.397,15.709,10.844,7.676,5.56,4.112,3.1,2.358
CCCCC(CO)CCCC,"1-hexanol, 2-butyl-",100.214,62.334,39.066,25.369,17.005,11.729,8.3,6.011,4.447,3.353,2.55
CCC(CO)CCC(C)(C)C,"1-hexanol, 2-ethyl-5,5-dimethyl-",80.443,50.739,32.248,21.205,14.376,10.019,7.158,5.231,3.902,2.966,2.273
CCCC(CO)CC(C)CC,"1-hexanol, 4-methyl-2-propyl-",104.267,64.931,40.702,26.409,17.676,12.168,8.592,6.209,4.582,3.447,2.616
CCC(C)(C)OCCC(C)C,"1,1-dimethylpropyl 3-methylbutyl ether",3.068,2.508,2.069,1.732,1.471,1.264,1.098,0.964,0.854,0.763,0.686
CCCCCCOCCCC,hexyl butyl ether,2.298,1.898,1.594,1.366,1.189,1.048,0.934,0.84,0.761,0.693,0.634
CC(C)CCC(C)CCCO,"1-octanol, 4,7-dimethyl-",84.461,52.976,33.448,21.843,14.706,10.177,7.222,5.243,3.886,2.936,2.237
CCOC(C)(C)CC(C)(C)C,"pentane, 2-ethoxy-2,4,4-trimethyl-",3.69,2.947,2.377,1.951,1.625,1.373,1.175,1.016,0.889,0.785,0.697
CC(C)CC(CO)CC(C)C,"1-pentanol, 4-methyl-2-(2-methylpropyl)-",73.102,46.151,29.337,19.281,13.06,9.09,6.485,4.732,3.525,2.675,2.048
CCC(C)C(C)(O)C(C)(C)C,"2,2,3,4-tetramethyl-3-hexanol",8.833,7.494,6.301,5.276,4.407,3.679,3.073,2.57,2.154,1.811,1.521
CCC(C)(C)C(O)CC(C)C,"2,5,5-trimethyl-4-heptanol",29.066,19.576,13.313,9.322,6.702,4.933,3.709,2.844,2.219,1.76,1.407
CC(C)CC(C)CC(C)(C)O,"2-heptanol, 2,4,6-trimethyl-",24.481,16.627,11.396,8.034,5.809,4.299,3.248,2.502,1.961,1.561,1.254
CC(C)C(C)CCC(C)(C)O,"2-heptanol, 2,5,6-trimethyl-",29.347,19.795,13.473,9.436,6.782,4.989,3.749,2.872,2.239,1.774,1.418
CCC(C)(C)C(O)C(C)(C)C,"2,2,4,4-tetramethyl-3-hexanol",28.685,19.356,13.215,9.304,6.731,4.988,3.776,2.915,2.288,1.825,1.467
CC(C)CCC(C)(O)C(C)C,"2,3,6-trimethyl-3-heptanol",27.668,18.669,12.722,8.927,6.43,4.742,3.573,2.744,2.145,1.703,1.364
CC(C)C(C)(O)CC(C)(C)C,"2,3,5,5-tetramethyl-3-hexanol",23.149,15.831,10.932,7.762,5.652,4.211,3.202,2.481,1.956,1.566,1.265
CCCC(O)(C(C)C)C(C)C,"3-hexanol, 3-isopropyl-2-methyl-",13.345,10.643,8.367,6.549,5.126,4.024,3.175,2.522,2.018,1.629,1.319
CCCCC(CCO)C(C)C,3-isopropyl-1-heptanol,99.322,61.878,38.818,25.212,16.895,11.644,8.233,5.957,4.402,3.316,2.519
CCCC(O)(CCC)C(C)C,"4-heptanol, 4-(1-methylethyl)-",25.907,17.486,11.935,8.398,6.07,4.493,3.398,2.62,2.055,1.638,1.316
CCCCCCCOC(C)C,heptyl isopropyl ether,2.92,2.38,1.959,1.637,1.386,1.189,1.031,0.904,0.799,0.713,0.64
CCC(C)CC(CO)C(C)C,2-isopropyl-4-methyl-1-hexanol,144.525,76.553,41.544,24.192,14.945,9.704,6.575,4.619,3.349,2.494,1.885
