SMILES,FOM1_40,FOM1_100,FOM1_avg,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_allylic_oxid,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_unbrch_alkane
C1(CCCCC1)C1C(CCCC1)C1CCCCC1,24.13239028495608,44.184173108874894,34.15828169691549,0.5658960176553521,248.4539999999999,216.19799999999995,248.25040102399998,104,-0.035477390437408184,-0.05328535760427436,0.05328535760427436,0.035477390437408184,0.3333333333333333,0.6666666666666666,1.0555555555555556,14.416664682862976,9.618143981228236,2.362947907188193,-2.4355717221742985,2.470588216112159,-2.3359018388627675,4.869266338446781,0.06867223663362497,1.6406092804874817,206.4228653433368,12.208896013370172,12.208896013370172,12.208896013370172,8.949489742783179,8.949489742783177,8.949489742783177,7.408346464128571,7.408346464128571,6.3855158110248205,6.3855158110248205,5.483444670898525,5.483444670898525,0.0,13.005,6.437869822485207,2.938775510204082,113.92577351198422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.04985947511214,36.51326743049759,0.0,0.0,0.0,0.0,23.671624184645573,89.89150272096417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.671624184645573,89.89150272096417,0.0,0.0,0.0,1.0,18,0,0,3,3,0,0,0,0,0,2,3,3,3,5.9534000000000065,78.59800000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1(CCCCC1)C1CCC(CC1)C1CCCCC1,32.739688440810504,46.69510647341608,39.71739745711329,0.5658960176553522,248.45399999999992,216.19799999999995,248.25040102399998,104,-0.03856396861237495,-0.05328536043361676,0.05328536043361676,0.03856396861237495,0.2777777777777778,0.5555555555555556,0.8888888888888888,14.37117036686279,9.664407311619781,2.315264527796694,-2.3914870422647843,2.439189117661286,-2.272967703698121,4.8309321328300365,0.12277690851957049,1.447244880076741,198.4228653433368,12.208896013370172,12.208896013370172,12.208896013370172,8.932652990377571,8.932652990377571,8.932652990377571,7.471040041861525,7.471040041861525,6.44948974278318,6.44948974278318,5.298931502368092,5.298931502368092,0.0,13.005,6.437869822485207,3.114186851211073,113.92577351198422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.20821622926012,49.35491067634962,0.0,0.0,0.0,0.0,23.671624184645573,89.89150272096417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.671624184645573,89.89150272096417,0.0,0.0,0.0,1.0,18,0,0,3,3,0,0,0,0,0,2,3,3,3,5.9534000000000065,78.59800000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C(CCCCCCC)C=1C=C2CCCCC2=CC1,44.39877703639105,58.73757026866839,51.56817365252972,0.5579810473213911,244.42199999999997,216.19799999999995,244.219100896,100,-0.027592559206935693,-0.0653823832227824,0.0653823832227824,0.027592559206935693,0.8333333333333334,1.5555555555555556,2.388888888888889,14.139381492154985,9.893432545535603,2.0848956165147787,-2.161069860328019,2.226145897704681,-2.027114920156696,5.3335983372815665,0.6066279047265384,1.7249437523044875,351.05598492707065,12.631545744180547,12.010225400620902,12.010225400620902,8.898178147766922,8.005800824678953,8.005800824678953,5.827936407566135,5.827936407566135,4.231911458379164,4.231911458379164,3.051744252166118,3.051744252166118,-0.78,13.647028596697757,7.610129471993102,4.1537236904402635,112.80487733872707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2269465197055,55.21528421264705,0.0,0.0,0.0,0.0,0.0,77.55277505187675,0.0,34.88945568047582,0.0,0.0,0.0,0.0,19.26246486877803,0.0,74.9806646581897,18.19910120538483,0.0,0.0,0.6666666666666666,18,0,0,1,1,1,1,0,0,0,7,0,0,2,5.468400000000005,80.16400000000006,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,4
C(CCCCCCC)C1CCCC2=CC=CC=C12,38.86871925562792,54.41742974066433,46.64307449814613,0.5271291037382012,244.42199999999997,216.19799999999995,244.219100896,100,-0.015911818193644088,-0.06538238322279266,0.06538238322279266,0.015911818193644088,1.0,1.7777777777777777,2.6666666666666665,14.232067343083989,9.799942185092764,2.18227879011616,-2.249935860418261,2.345249897843053,-2.0904352520986413,5.319139310758374,0.4837249056255268,1.7379989803556553,339.646476403863,12.631545744180547,11.957819157813606,11.957819157813606,8.91501490017253,7.993182156491986,7.993182156491986,5.844407759688482,5.844407759688482,4.39976062880625,4.39976062880625,3.3254598144415186,3.3254598144415186,-0.78,13.647028596697757,7.610129471993102,3.8645579709089404,112.80487733872707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.71413521109312,42.72809552125942,0.0,0.0,0.0,0.0,0.0,77.04985947511213,0.0,35.392371257240434,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,81.7559408355801,24.26546827384644,0.0,0.0,0.6666666666666666,18,0,0,1,1,1,1,0,0,0,7,0,0,2,5.857100000000006,80.11400000000006,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4
CCCCCCCCC1CCCc2ccccc12,41.857638591748696,65.2775401450014,53.567589368375046,0.5271291037382012,244.42199999999997,216.19799999999995,244.219100896,100,-0.015911818193644088,-0.06538238322279266,0.06538238322279266,0.015911818193644088,1.0,1.7777777777777777,2.6666666666666665,14.23206734308396,9.799942185092771,2.1822787901161576,-2.2499358604182627,2.345249897843052,-2.0904352520986422,5.319139310758377,0.48372490562552845,1.7379989803556548,339.646476403863,12.631545744180547,11.957819157813608,11.957819157813608,8.91501490017253,7.993182156491986,7.993182156491986,5.844407759688482,5.844407759688482,4.39976062880625,4.39976062880625,3.325459814441518,3.325459814441518,-0.78,13.647028596697757,7.610129471993102,3.8645579709089404,112.80487733872707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.71413521109312,42.72809552125942,0.0,0.0,0.0,0.0,0.0,77.04985947511213,0.0,35.392371257240434,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,81.7559408355801,24.26546827384644,0.0,0.0,0.6666666666666666,18,0,0,1,1,1,1,0,0,0,7,0,0,2,5.857100000000006,80.11400000000006,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4
C(CCC)C=1C=C2CCCCC2=CC1CCCC,41.22654051507224,54.5056869354438,47.86611372525802,0.6408067434292232,244.4219999999999,216.19799999999995,244.219100896,100,-0.02759222174111043,-0.06537107036906266,0.06537107036906266,0.02759222174111043,0.7777777777777778,1.2222222222222223,1.6111111111111112,14.17872214092467,9.855831802316445,2.125054717548415,-2.1978843650036466,2.26508793488462,-2.0636394169731087,5.397613111545126,0.6775257936460688,2.2181498426385677,338.86985466429576,12.794682450997078,12.22576835024473,12.22576835024473,8.846866552750669,7.983127663125442,7.983127663125442,5.8038423282718075,5.8038423282718075,4.263402213751927,4.263402213751927,3.0876800395099497,3.0876800395099497,-0.78,13.647028596697757,6.968763466108176,3.369961390570188,112.80487733872705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.821851782156486,73.62037895019607,0.0,0.0,0.0,0.0,0.0,78.05569062864136,0.0,34.386540103711205,0.0,0.0,0.0,0.0,25.683286491704038,0.0,74.62621010372528,12.13273413692322,0.0,0.0,0.6666666666666666,18,0,0,1,1,1,1,0,0,0,6,0,0,2,5.250600000000005,80.30800000000006,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
CC(CC1CCC(C2=CC=CC=C12)CC(C)C)C,32.399711512171336,47.894967981253,40.14733974671216,0.6332639937672273,244.422,216.19799999999995,244.219100896,100,-0.015647826586086915,-0.06275199347048425,0.06275199347048425,0.015647826586086915,0.8333333333333334,1.2222222222222223,1.5555555555555556,14.316526240529164,9.717270536233764,2.268969301177036,-2.3303845800810636,2.4329594018570493,-2.1679102525715943,5.353452810209882,0.38372519144411193,2.2244056907021577,338.3796296686227,13.120955864630139,12.4472292782632,12.4472292782632,8.57538740046941,7.663591357920936,7.663591357920936,6.859212455648756,6.859212455648756,4.251098828862012,4.251098828862012,3.5955479071491596,3.5955479071491596,-0.78,13.647028596697757,5.9073131038455555,3.157534087817193,112.80487733872701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.960417072608934,60.481813659743594,0.0,0.0,0.0,0.0,11.835812092322787,65.2140473827893,0.0,35.392371257240434,0.0,0.0,0.0,0.0,0.0,11.835812092322787,76.34095036618329,24.26546827384644,0.0,0.0,0.6666666666666666,18,0,0,1,1,1,1,0,0,0,4,0,0,2,5.739800000000005,80.06800000000007,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CC(C)(C)C=1C=C2C(C(C(C2=CC1)(C)C)C)(C)C,26.32595376918385,38.40392397700538,32.364938873094616,0.588978218978815,244.42199999999997,216.19799999999995,244.219100896,100,-0.006662310617892613,-0.06084245397595385,0.06084245397595385,0.006662310617892613,0.8888888888888888,1.3888888888888888,1.8888888888888888,14.518158589118054,9.711855803396064,2.4799134719457006,-2.3243080141697696,2.5352015242818307,-2.3042712657439695,5.484790056071143,0.26390211367858196,2.661058946179793,469.30194454607874,13.930721420318148,13.309401076758505,13.309401076758505,7.987052437352475,7.142734410091838,7.142734410091838,8.175426480542944,8.175426480542944,5.43901237950769,5.43901237950769,3.474340581578197,3.474340581578197,-0.78,13.647028596697757,3.6193375000626125,1.7265429532567331,112.80487733872701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.58899880290981,38.853231929442714,0.0,0.0,0.0,0.0,5.917906046161393,71.63486900571532,0.0,34.88945568047582,0.0,0.0,0.0,0.0,16.244971408190338,5.917906046161393,72.08025207261596,18.19910120538483,0.0,0.0,0.6666666666666666,18,0,0,1,1,1,1,0,0,0,0,0,0,2,5.189000000000005,80.35800000000006,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCc1ccccc1,61.35087261207436,80.07060894563992,70.71074077885714,0.41070852527938223,246.438,216.19799999999995,246.23475095999999,102,-0.027887227939307323,-0.06538238322279266,0.06538238322279266,0.027887227939307323,0.6111111111111112,1.1111111111111112,1.6666666666666667,13.998748104411327,10.036339165895507,1.9373680040161176,-2.0251934151618127,2.1170106016486656,-1.8563661407694332,5.138977787891403,0.5561512851252297,1.8160665751133587,262.62661626856533,12.891058768174391,12.164925939000156,12.164925939000156,8.931851652578137,7.971343774302779,7.971343774302779,5.417579074992951,5.417579074992951,3.6618298825622118,3.6618298825622118,2.4612382501507475,2.4612382501507475,-0.78,15.278072009291519,11.318357554514222,8.331190757979513,113.81070849225631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0429671483328,18.405094737549014,0.0,0.0,0.0,0.0,0.0,77.55277505187675,0.0,35.89528683400505,0.0,0.0,0.0,0.0,6.4208216229260096,0.0,76.69540492064773,30.33183534230805,0.0,0.0,0.6666666666666666,18,0,0,0,0,1,1,0,0,0,11,0,0,1,6.150000000000007,81.99000000000007,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8
CCCCCCc1ccc(CCCCCC)cc1,52.43116432355366,73.69227451837244,63.06171942096305,0.4486242017869481,246.43799999999993,216.19799999999995,246.23475095999999,102,-0.027886894116284585,-0.06538238174359431,0.06538238174359431,0.027886894116284585,0.5555555555555556,0.9444444444444444,1.2777777777777777,14.01897612730186,10.016400974373587,1.9600391115878548,-2.042630148187034,2.1193584501894027,-1.890595563160489,5.222118726267024,0.6632200392928957,2.2004106714844185,252.41154945961182,13.054195474990921,12.380468888623982,12.380468888623982,8.863703305156275,7.942687548605561,7.942687548605561,5.437816924487368,5.437816924487368,3.660981807886895,3.660981807886895,2.384398475626972,2.384398475626972,-0.78,15.278072009291519,10.171227963413932,6.83475712010347,113.81070849225628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.63787241078376,36.81018947509803,0.0,0.0,0.0,0.0,0.0,78.05569062864136,0.0,35.392371257240434,0.0,0.0,0.0,0.0,12.841643245852019,0.0,76.34095036618332,24.26546827384644,0.0,0.0,0.6666666666666666,18,0,0,0,0,1,1,0,0,0,10,0,0,1,5.932200000000006,82.13400000000007,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4
