SMILES,name,search_name,priority,density_40C_g_cm3,density_100C_g_cm3,kv_40C_cSt,kv_100C_cSt,tc_40C_W_mK,tc_100C_W_mK,cp_40C_J_K_mol,cp_100C_J_K_mol,cpsat_40C_J_K_mol,cpsat_100C_J_K_mol,mp_K,bp_K,fp_K,exact_temp_40C_K,exact_temp_100C_K,notes,MolWt,FOM1_ig_40,FOM1_ig_100,FOM1_sat_40,FOM1_sat_100
OC1CCCC1C1CCCC1,2-cyclopentylcyclopentanol,2-cyclopentylcyclopentanol,0,1.007,0.956,5.958,1.987,0.131,0.123,204.0,243.0,,,,506.0,,313.15,373.15,wtt_bulk_complete,154.253,49.37891041801403,67.51468023192852,,
CC(C)C1CCC(C)(C(=O)O)C1,1-methyl-3-isopropylcyclopentanecarboxylic acid,1-methyl-3-isopropylcyclopentanecarboxylic acid,0,1.046,0.995,7.648,2.312,0.131,0.122,231.0,271.0,355.0,382.0,292.1,536.5,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,46.36221891854336,64.50755732010252,52.31899573603988,71.04782043514695
CC1C=CC(C(C)C)CC1,(3R-trans)-3-methyl-6-(1-methylethyl)cyclohexene,(3R-trans)-3-methyl-6-(1-methylethyl)cyclohexene,0,,,,,,,205.0,242.0,277.8,310.6,,,,313.15,373.15,wtt_bulk_partial_2of8+cpsat2,138.254,,,,
C#CC(C)(O)CCCC(C)C,"3,7-dimethyl-1-octyn-3-ol","3,7-dimethyl-1-octyn-3-ol",0,0.8368,0.7882,35.851,4.06,0.087,0.0815,250.0,287.0,,,,473.0,,313.15,373.15,wtt_bulk_complete,154.253,23.200562879623217,42.4697296531629,,
CCCCCCC/C=C\C=O,2-decenal,2-decenal,0,0.8382,0.7907,1.551,0.771,0.167,0.155,238.0,273.0,349.0,373.0,,492.9,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,87.8796210852468,105.38174752499704,97.87096495911555,115.05209677116316
CCCCC(=O)/C=C/C(C)C,2-methyl-3-nonen-5-one,2-methyl-3-nonen-5-one,0,0.8331,0.7848,1.68,0.777,0.161,0.149,239.0,275.0,350.0,375.0,,486.0,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,84.18987210261656,102.90301259055435,93.72659959691045,112.28423855184158
CCCC=CC(=O)CC(C)C,2-methyl-5-nonen-4-one,2-methyl-5-nonen-4-one,0,0.8274,0.779,1.692,0.783,0.162,0.15,239.0,275.0,355.0,379.0,,486.0,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,84.4453394904853,103.2354433950544,94.3868716653509,112.98368893107188
CC(=O)C(C)=CCCC(C)C,"3,7-dimethyl-3-octen-2-one","3,7-dimethyl-3-octen-2-one",0,0.8349,0.7866,1.557,0.75,0.146,0.135,240.0,276.0,337.0,363.5,,478.8,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,80.26630982143016,96.91569954508331,88.30843045397324,104.72160797675306
CC(C)=CCCC(C)CC=O,"3,7-dimethyl-6-octenal","3,7-dimethyl-6-octenal",0,0.8359,0.7879,1.914,0.825,0.145,0.135,239.0,275.0,332.0,360.0,,478.7,,313.15,373.15,wtt_bulk_complete+cpsat2,154.253,75.14452492633929,94.09049790557728,82.42332999685419,101.49610436239436
C/C=C/OC(O/C=C/C)C(C)C,"(E,E)-1,1-bis(1-propenoxy)-2-methylpropane","(E,E)-1,1-bis(1-propenoxy)-2-methylpropane",0,0.918,0.862,1.743,0.766,0.161,0.148,253.0,288.0,347.0,373.9,,465.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,85.8483016404568,105.61503611153675,93.82716331746433,113.6618596606335
C/C=C\OC(O/C=C/C)C(C)C,"(Z,E)-1,1-bis(1-propenoxy)-2-methylpropane","(Z,E)-1,1-bis(1-propenoxy)-2-methylpropane",0,0.918,0.862,1.743,0.766,0.161,0.148,253.0,288.0,347.0,373.9,,465.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,85.8483016404568,105.61503611153675,93.82716331746433,113.6618596606335
CC1CCC(CC(=O)O)C1(C)C,"2,2,3-Trimethylcyclopentaneacetic acid","2,2,3-Trimethylcyclopentaneacetic acid",0,1.052,1.0,4.183,1.6,0.13,0.122,232.0,270.0,,,,532.0,,313.15,373.15,wtt_bulk_complete,170.25199999999998,55.003442662986345,71.86245301650617,,
C/C=C\OC(O/C=C\C)C(C)C,"(Z,Z)-1,1-bis(1-propenoxy)-2-methylpropane","(Z,Z)-1,1-bis(1-propenoxy)-2-methylpropane",0,0.918,0.862,1.743,0.766,0.161,0.148,253.0,288.0,347.0,373.9,,465.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,85.8483016404568,105.61503611153675,93.82716331746433,113.6618596606335
CCCCCCC1CCC(=O)O1,.gamma.-decalactone,.gamma.-decalactone,0,1.052,1.005,2.567,1.194,0.175,0.165,237.0,275.0,340.0,368.0,,558.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,76.39722731502341,94.7086440640386,84.56018153328127,102.79649891099548
CC1(C)C2CCC(CO)C1C2,(+)-trans-myrtanol,(+)-trans-myrtanol,0,,,,,,,,,,,,,,313.15,373.15,wtt_bulk_no_props,154.253,,,,
CC12COC(C(C)(C)C)(OC1)OC2,"2,6,7-trioxabicyclo[2.2.2]octane, 1-(1,1-dimethylethyl)-4-methyl-","2,6,7-trioxabicyclo[2.2.2]octane, 1-(1,1-dimethylethyl)-4-methyl-",0,,,,,,,239.0,282.0,,,375.1,471.0,,313.15,373.15,wtt_bulk_partial_2of8,186.251,,,,
CC(C)C(=O)CC(=O)C(C)(C)C,"2,2,6-trimethyl-3,5-heptanedione","2,2,6-trimethyl-3,5-heptanedione",0,0.96,0.906,2.083,0.949,0.163,0.151,258.0,295.0,365.0,392.0,,496.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,81.99034968855594,100.5330492591832,90.39555970985768,108.90286189107526
CC1C=CC(C(C)C)CC1,(3R-trans)-3-methyl-6-(1-methylethyl)cyclohexene,2-decenoic acid,0,0.9121,0.867,6.688,2.307,0.17,0.159,248.0,284.0,,,,555.0,,313.15,373.15,wtt_bulk_complete,138.254,60.67088561886023,81.03834255084334,,
C#CC(C)(O)CCCC(C)C,"3,7-dimethyl-1-octyn-3-ol","2-decyne-1,4-diol",0,0.9354,0.8927,35.279,5.601,0.174,0.161,262.0,298.0,,,,,,313.15,373.15,wtt_bulk_complete,154.253,37.47398423046987,61.66673913217112,,
,"2,4-dimethyl(O-in)-cis-1,3-dioxadecalin","2,4-dimethyl(O-in)-cis-1,3-dioxadecalin",0,1.03,0.974,3.883,1.304,0.141,0.131,218.0,258.0,296.0,329.8,,482.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,59.74257040603136,80.76236351672068,65.11041309178788,86.53749211424937
,"2,4-dimethyl(O-out)-cis-1,3-dioxadecalin","2,4-dimethyl(O-out)-cis-1,3-dioxadecalin",0,1.03,0.974,3.883,1.304,0.141,0.131,218.0,258.0,296.0,329.8,,482.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,59.74257040603136,80.76236351672068,65.11041309178788,86.53749211424937
CC(C)C(=O)CC(=O)C(C)(C)C,"2,2,6-trimethylheptane-3,5-dione","2,2,6-trimethylheptane-3,5-dione",0,0.907,0.856,1.874,0.853,0.156,0.145,258.0,295.0,334.0,364.5,,478.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,80.5371930373573,99.01464973176654,86.60395923033079,105.08580085377356
,"2,9-dimethyl(O-in)-cis-1,3-dioxadecalin","2,9-dimethyl(O-in)-cis-1,3-dioxadecalin",0,1.027,0.971,3.797,1.267,0.14,0.131,218.0,258.0,295.0,329.1,,480.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,59.813400566084034,81.41895890632476,65.1255817048529,87.18891130245805
,"2,9-dimethyl(O-out)-cis-1,3-dioxadecalin","2,9-dimethyl(O-out)-cis-1,3-dioxadecalin",0,1.027,0.971,3.797,1.267,0.14,0.131,218.0,258.0,295.0,329.1,,480.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,59.813400566084034,81.41895890632476,65.1255817048529,87.18891130245805
CCC#CC(C)(O)C(C)(O)CC,"3,4-dimethyl-5-octyne-3,4-diol","3,4-dimethyl-5-octyne-3,4-diol",0,0.9479,0.897,105.496,8.473,0.138,0.128,263.0,301.0,,,,507.0,,313.15,373.15,wtt_bulk_complete,170.25199999999998,23.84667812888999,47.699652760146805,,
