SMILES,name,beta_0C,beta_10C,beta_20C,beta_30C,beta_40C,beta_50C,beta_60C,beta_70C,beta_80C,beta_90C,beta_100C,fit_r2,n_points,flag
CCCC#CCCCCCCCCCCCCC,4-octadecyne,0.0007562749052726,0.0007644482250298,0.0007727659670794,0.0007812321088704,0.0007898507746162,0.0007986262421323,0.000807562950058,0.000816665505491,0.0008259386920594,0.0008353874784639,0.0008450170275198,0.9999993563060188,11,
CCCCC#CCCCCCCCCCCCC,5-octadecyne,0.0006892521793046,0.0006997735121085,0.000710483432879,0.0007213878371683,0.0007324928586815,0.0007438048815678,0.0007553305534796,0.0007670767994528,0.0007790508366735,0.0007912601901943,0.0008037127096734,0.9999998220234548,11,
CCCCCC#CCCCCCCCCCCC,6-octadecyne,0.0007560918242023,0.000764290633863,0.0007726344455541,0.0007811272586757,0.000789773220407,0.0007985766326001,0.0008075419590632,0.0008166738332592,0.0008259770664481,0.0008354566563022,0.0008451177960274,0.9999993829581336,11,
CCCCCCC#CCCCCCCCCCC,7-octadecyne,0.0007585242058155,0.0007664940661351,0.000774603763947,0.0007828571043119,0.0007912580311394,0.0007998106335823,0.0008085191527876,0.0008173879890281,0.0008264217092386,0.0008356250549851,0.000845002950895,0.9999992798422174,11,
CCCCCCCC#CCCCCCCCCC,8-octadecyne,0.0007269481482572,0.0007375409392453,0.0007483301598447,0.000759321962583,0.0007705227522481,0.0007819391990467,0.0007935782525934,0.0008054471567927,0.0008175534656806,0.0008299050602994,0.0008425101666846,0.999999533002494,11,
CCCCCCCCC#CCCCCCCCC,9-octadecyne,0.0006949079618624,0.0007057356510566,0.0007167595100852,0.0007279857641854,0.0007394208934568,0.0007510716462042,0.0007629450531224,0.0007750484423895,0.0007873894557351,0.0007999760655583,0.0008128165931766,0.9999997642890092,11,
CCCCCCCCCCCCCCC1CC=CC1,4-tetradecylcyclopentene,0.0007214538781442,0.0007337429149606,0.0007462655279237,0.0007590296380719,0.0007720435105611,0.0007853157738473,0.0007988554401609,0.000812671927375,0.0008267750823816,0.0008411752060961,0.0008558830802261,0.9999997380520012,11,
CCC(=CCCCCCCC=C(CC)CC)CC,"3,12-diethyl-3,11-tetradecadiene",0.000727710466532,0.0007398836163632,0.000752289040633,0.0007649345715456,0.0007778283810427,0.0007909789996835,0.000804395336791,0.0008180867019685,0.0008320628280935,0.0008463338959107,0.0008609105603546,0.9999995823558516,11,
CCCCCCCCC1CCCC2CCCCC12,2-octylbicyclo[4.4.0]decane,0.0006433132693914,0.0006566393998066,0.0006702020628398,0.0006840097791674,0.0006980714380493,0.0007123963183674,0.0007269941110994,0.0007418749433412,0.0007570494040086,0.0007725285713539,0.0007883240424513,0.9999999771086886,11,
CCC1(C(C)C2(CC)CCCCC2)CCCCC1,"1,1-bis(ethylcyclohexyl)ethane",0.0006580724371846,0.0006678807329035,0.0006778574462405,0.0006880076593537,0.0006983366518171,0.0007088499104268,0.0007195531395957,0.0007304522723788,0.0007415534821716,0.0007528631951341,0.0007643881033896,0.9999998465499964,11,
C=CCCCCCCCCCCCCCCC=C,"1,17-octadecadiene",0.0007297724036899,0.0007420685613635,0.0007546002133851,0.0007673753426039,0.0007804022797666,0.0007936897229463,0.0008072467582829,0.0008210828821399,0.0008352080247908,0.0008496325757609,0.0008643674109612,0.9999995166626956,11,
C(CCCC1CCCCC1)CCC1CCCCC1,"1,6-dicyclohexylhexane",0.0004678433773151,0.0004930405654248,0.0005186011759871,0.0005445485443876,0.0005709070363746,0.0005977021329695,0.0006249605221455,0.000652710198005,0.0006809805682651,0.0007098025709589,0.0007392088013695,0.99999488087746,11,
CCCCC(CC)CC1CCCC2CCCCC21,1-(2-ethylhexyl)decahydronaphthalene,0.0006755071701847,0.0006873141374249,0.0006993342862854,0.0007115747263532,0.0007240428659896,0.0007367464285396,0.0007496934696003,0.0007628923954309,0.0007763519825921,0.0007900813989148,0.000804090225901,0.99999992054934,11,
CC=C(CC)CCCCCCCCC(=CC)CC,"3,12-diethyl-2,12-tetradecadiene",0.0007202954929653,0.000732983063696,0.0007459129098716,0.0007590933937428,0.0007725332452357,0.000786241582744,0.0008002279353414,0.0008145022665274,0.0008290749996326,0.000843957045021,0.0008591598292379,0.999999902885948,11,
CCCCCCCCCCCCCC1=CCCC1,1-tridecylcyclopentene,0.0007076946249979,0.0007209668637262,0.0007344914209408,0.0007482772421648,0.0007623336711179,0.0007766704726528,0.0007912978572843,0.0008062265074389,0.0008214676055721,0.000837032864306,0.0008529345587629,0.9999999237153648,11,
CC(C)(C1CCCCC1)C(C)(C)C1CCCCC1,"2,3-dicyclohexyl-2,3-dimethylbutane",0.0006214589199715,0.0006330321039435,0.0006448015709108,0.0006567738605054,0.0006689557783519,0.0006813544102221,0.0006939771370909,0.0007068316511631,0.0007199259729434,0.0007332684694321,0.0007468678735324,0.99999996379956,11,
CCCCCCC(C)C1CCCC2CCCCC21,2-(1-methylheptyl)bicyclo[4.4.0]decane,0.0006686412211709,0.0006800624693277,0.000691687357414,0.0007035225581623,0.0007155750204133,0.0007278519838482,0.0007403609946697,0.000753109922301,0.0007661069771829,0.0007793607297538,0.0007928801307048,0.9999998793394628,11,
CC#CCCCCCCCCCCCCCCC,2-octadecyne,0.0006360435097122,0.000647511937143,0.0006591779136512,0.0006710479645583,0.0006831288816677,0.0006954277374226,0.0007079518999668,0.0007207090491769,0.0007337071937392,0.0007469546893533,0.0007604602581487,0.9999999531225674,11,
C#CCCCCCCCCCCCCCCCC,1-octadecyne,0.0011508742320202,0.0011267491790937,0.0011016493080277,0.0010755702091668,0.001048509539,0.0010204671447676,0.0009914451844364,0.0009614482406829,0.000930483427478,0.0008985604878274,0.0008656918812044,0.9999907027987148,11,
COC(=O)c1ccc(C(=O)OC)c(C(=O)OC)c1,"trimethyl 1,2,4-benzenetricarboxylate",0.000662975606882,0.0006700387343982,0.0006772148918062,0.0006845069604844,0.0006919179196058,0.0006994508503295,0.0007071089402108,0.0007148954878418,0.0007228139077362,0.0007308677354751,0.0007390606331291,0.9999996640470278,11,
O=C(/C=C/c1ccccc1)OCCc1ccccc1,"2-propenoic acid, 3-phenyl-, 2-phenylethyl ester",0.0007183719679908,0.0007235805075192,0.0007288650494842,0.0007342272696427,0.0007396688933804,0.0007451916975634,0.0007507975124724,0.0007564882238248,0.0007622657748898,0.0007681321687011,0.0007740894703716,0.9999999885859376,11,
C1=Cc2c3ccc4ccccc4c3cc3cccc1c23,benz[j]aceanthrylene,0.0004509042872566,0.0004553578797311,0.0004598632229941,0.0004644213605877,0.0004690333631561,0.0004737003293411,0.0004784233867139,0.000483203692744,0.0004880424358075,0.000492940836236,0.0004979001474086,0.9999999601302508,11,
Cc1cc(C)c(Cc2cc(C)c(C)cc2C)cc1C,"benzene, 1,2,4-trimethyl-5-[(2,4,5-trimethylphenyl)methyl]-",0.0005892123152073,0.0005978124196294,0.0006065465988998,0.0006154186479921,0.0006244324980001,0.0006335922224143,0.0006429020437446,0.0006523663405155,0.000661989654657,0.0006717766993162,0.0006817323671214,0.9999999449127988,11,
Cc1ccc(C(c2ccc(C)cc2)C(C)(C)C)cc1,"2,2-dimethyl-1,1-bis(4-methylphenyl)propane",0.0006041305909274,0.0006147749920558,0.000625594086652,0.0006365934402728,0.0006477788361503,0.0006591562862962,0.0006707320432845,0.0006825126127619,0.0006945047667402,0.0007067155577268,0.0007191523337572,0.9999999831599944,11,
CCCCCCCc1ccccc1-c1ccccc1,"1,1'-biphenyl, 2-heptyl-",0.0006208215945278,0.0006311913441756,0.0006417339424102,0.0006524547946814,0.0006633595175843,0.0006744539495357,0.0006857441620983,0.0006972364720014,0.0007089374539072,0.0007208539539779,0.0007329931043027,0.9999999542552436,11,
Cc1ccc(CC(C)c2ccc(C)c(C)c2)cc1C,"1,2-bis(3,4-dimethylphenyl)propane",0.0005877363869579,0.0005974751481541,0.000607368526861,0.0006174212193556,0.0006276380982346,0.000638024221017,0.0006485848392509,0.0006593254081587,0.0006702515968575,0.0006813692991968,0.000692684645257,0.9999999837817756,11,
CCCCCCCc1ccc(-c2ccccc2)cc1,"1,1'-biphenyl, 4-heptyl-",0.0006216546960137,0.0006313075043561,0.0006411194755473,0.0006510953900571,0.0006612402101845,0.0006715590889565,0.0006820573795502,0.0006927406452763,0.0007036146701637,0.0007146854701857,0.0007259593051768,0.9999999445410184,11,
Cc1cc(C)c(C)c(CCCc2ccccc2)c1C,"1-(3-phenylpropyl)-2,3,5,6-tetramethylbenzene",0.0005825331416303,0.000591907796911,0.0006014294879685,0.000611102589046,0.0006209316359017,0.0006309213335442,0.0006410765644116,0.0006514023970264,0.0006619040951567,0.0006725871275207,0.0006834571780712,0.9999999517941276,11,
CC/C=C/CCCCCCCCCCCCCC,"3-octadecene, (E)-",0.0006956428286212,0.0007093301430063,0.0007232757813349,0.0007374890836233,0.0007519798083059,0.000766758156631,0.000781834798767,0.0007972209017603,0.0008129281595006,0.0008289688248645,0.0008453557442245,0.9999998865452516,11,
CCCCCCC(C)C=CC(C)CCCCCC,"7,10-dimethyl-8-hexadecene",0.0007232923307818,0.000738538570927,0.0007540856603021,0.0007699451181941,0.0007861290073559,0.0008026499674868,0.000819521251191,0.0008367567626318,0.0008543710991222,0.0008723795959143,0.0008907983744807,0.9999999700624336,11,
CCCCCCC=C(CCC)CCCCCCC,8-propyl-7-pentadecene,0.0007310320650737,0.0007427331972586,0.0007546565548693,0.0007668094719367,0.0007791995959999,0.0007918349052277,0.0008047237266716,0.0008178747557375,0.000831297076973,0.000845000186275,0.0008589940146324,0.9999995370015184,11,
CC(C)CCC(C)(CC(C)(C)C)C1CCCCC1,"[1-(3-methylbutyl)-1,3,3-trimethylbutyl]cyclohexane",0.0007310706114119,0.0007455027927657,0.0007602194996666,0.0007752312732218,0.0007905491434099,0.0008061846584756,0.0008221499164527,0.0008384575990007,0.0008551210077522,0.0008721541033945,0.0008895715477285,0.9999999715669644,11,
CC(C)CCC(C)(CCC(C)C)C1CCCCC1,"[1-(3-methylbutyl)-1,4-dimethylpentyl]cyclohexane",0.0007312913035855,0.0007446888650093,0.0007583473530945,0.0007722760381119,0.0007864846083035,0.0008009831941659,0.0008157823944376,0.0008308933039297,0.0008463275433558,0.0008620972913303,0.0008782153187216,0.9999998474931172,11,
CCCCCCCCCCCCCCC1CCC1,tetradecylcyclobutane,0.0007110091713819,0.000724989987509,0.0007392397004764,0.0007537681250171,0.0007685855219674,0.0007837026246057,0.0007991306668616,0.0008148814135551,0.0008309671928363,0.0008474009310166,0.00086419619,0.9999999611341902,11,
CCCCCCCC=C(C)CCCCCCCC,9-methyl-8-heptadecene,0.0007132864165883,0.0007263517451673,0.0007396661665375,0.0007532384271195,0.0007670776612217,0.0007811934132452,0.0007955956614199,0.0008102948431996,0.000825301882451,0.0008406282185879,0.0008562858378147,0.9999998500360426,11,
CCCCCC/C=C\CCCCCCCCCC,(E)-7-octadecene,0.0006982934282178,0.0007115120582246,0.0007249794797587,0.0007387045060774,0.0007526963406244,0.0007669645994248,0.0007815193350277,0.0007963710621228,0.000811530784969,0.0008270100267872,0.0008428208612836,0.9999998666860032,11,
CCCCCCC/C=C\CCCCCCCCC,cis-8-octadecene,0.0007147298219781,0.0007277181087995,0.0007409541153775,0.0007544465095456,0.0007682043428892,0.0007822370726595,0.0007965545851959,0.0008111672209811,0.000826085801463,0.0008413216577902,0.0008568866616231,0.9999998509180192,11,
CCCCCCCCCCCCCC1CCCC1,tridecylcyclopentane,0.0007106768824031,0.0007242231379523,0.0007380285385445,0.0007521023745482,0.0007664543535836,0.0007810946247987,0.0007960338048451,0.0008112830056969,0.0008268538644659,0.0008427585753837,0.0008590099241355,0.9999999520019646,11,
CCCCCCCCCCC1CCCCCCC1,decylcyclooctane,0.0007810590184432,0.0007862809145034,0.0007915782634491,0.000796952723407,0.0008024060014757,0.0008079398555464,0.0008135560962069,0.0008192565887308,0.0008250432551582,0.0008309180764717,0.0008368830948734,0.9999991968545864,11,
C/C=C\CCCCCCCCCCCCCCC,"2-octadecene, (Z)-",0.0007108348310572,0.0007241655565902,0.0007377506784585,0.0007515992340775,0.000765720664333,0.0007801248368818,0.0007948220710743,0.0008098231646317,0.0008251394222244,0.0008407826861122,0.0008567653690214,0.999999864600392,11,
CCC1C(CC)C(CC)C(CC)C(CC)C1CC,"cyclohexane, 1,2,3,4,5,6-hexaethyl-",0.0006659767523447,0.0006799111076372,0.0006941008621157,0.0007085554084678,0.0007232845570132,0.0007382985601378,0.0007536081384393,0.0007692245087255,0.0007851594140202,0.0008014251557487,0.0008180346282899,0.9999999380941956,11,
CCCCCCCCCCCCCCC=C(C)C,2-methyl-2-heptadecene,0.0007675835546999,0.0007752067598025,0.0007829622002888,0.0007908534002482,0.0007988840099043,0.0008070578113102,0.0008153787243553,0.0008238508131034,0.0008324782924833,0.0008412655353567,0.0008502170799854,0.9999988208810836,11,
CCC/C=C\CCCCCCCCCCCCC,(E)-4-octadecene,0.0007035778907654,0.0007175610154127,0.0007318110793734,0.000746337839691,0.0007611514955076,0.0007762627141337,0.0007916826589681,0.0008074230194198,0.0008234960430055,0.0008399145698077,0.000856692069499,0.999999869814348,11,
C=C(C)CCCCCCCCCCCCCCC,"1-heptadecene, 2-methyl-",0.0007335765201881,0.0007473825818323,0.0007614594841465,0.0007758170095641,0.0007904653870775,0.0008054153185552,0.0008206780069296,0.0008362651864136,0.0008521891549177,0.0008684628088579,0.000885099680563,0.9999999142284794,11,
CCCC(CCC)(CCC(C)C)C1CCCCC1,"(4-methyl-1,1-dipropylpentyl)cyclohexane",0.0007267020511444,0.0007394918348846,0.0007525276457695,0.0007658180073866,0.0007793718201483,0.0007931983827057,0.0008073074148316,0.0008217090818938,0.0008364140210456,0.0008514333692798,0.0008667787935,0.9999998482807818,11,
C/C=C/CCCCCCCCCCCCCCC,(E)-2-octadecene,0.0007197930577625,0.0007323368659828,0.0007451196101594,0.0007581494860853,0.0007714350482538,0.0007849852300354,0.0007988093652258,0.0008129172110742,0.0008273189729128,0.0008420253305178,0.0008570474663471,0.9999997536777104,11,
CCCCC/C=C\CCCCCCCCCCC,(E)-6-octadecene,0.0007234339281083,0.0007356600323786,0.0007481187158401,0.0007608178422785,0.0007737656166617,0.0007869706041219,0.0008004417502131,0.0008141884025455,0.0008282203339085,0.0008425477670022,0.0008571814009105,0.9999997775835592,11,
CCCCCCCC/C=C/CCCCCCCC,(E)-9-octadecene,0.0007685119822573,0.0007738142679806,0.0007791942070204,0.0007846535235278,0.000790193993087,0.0007958174446476,0.0008015257625447,0.0008073208886113,0.0008132048243884,0.0008191796334377,0.0008252474437627,0.9999989395993496,11,
CCCC/C=C\CCCCCCCCCCCC,(Z)-5-octadecene,0.0007182459281597,0.0007309221685049,0.0007438399673599,0.000757007659999,0.0007704339477795,0.0007841279188277,0.0007980990701354,0.000812357331182,0.000826913089205,0.000841777216256,0.0008569610981908,0.9999998095021664,11,
CCCCCCCCC=CCCCCCCCC,(Z)-9-octadecene,0.0010430342884666,0.0010273190242867,0.0010110018147897,0.0009940772458276,0.0009765406776861,0.0009583882976986,0.000939617172628,0.0009202253004901,0.000900211661471,0.0008795762675677,0.0008583202105665,0.9999889132142008,11,
CC1(C)CCCCCCCCCCCCCCC1,"1,1-dimethylcyclohexadecane",0.0006340826519972,0.0006456807389309,0.0006574785014519,0.0006694825810096,0.0006816998911329,0.0006941376319556,0.0007068033056727,0.0007197047329975,0.0007328500706962,0.0007462478302838,0.0007599068979717,0.9999999956367924,11,
CC(C)CCCC(C)CCC1C(C)CCCC1C,"1,3-dimethyl-2-(3,7-dimethyloctyl)cyclohexane",0.0007084756180906,0.0007202780677715,0.0007323005569087,0.0007445503935539,0.0007570351968037,0.0007697629137794,0.0007827418377259,0.000795980627318,0.0008094883272681,0.0008232743903396,0.0008373487008786,0.999999814767086,11,
C=CCCCC(CCCC)(CCCC)CCCC,"1-decene, 6,6-dibutyl-",0.0007362684520121,0.0007494623398795,0.0007629136736044,0.0007766315175325,0.0007906253430254,0.0008049050519642,0.0008194810018916,0.0008343640329289,0.0008495654966152,0.0008650972868306,0.0008809718729835,0.9999998642701454,11,
