SMILES,prop,XGBoost,MLP,D-MPNN,Uni-Mol,consensus_mean,consensus_sd
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,beta,0.00074461519252502,0.00072225200990708,0.0007467299585308199,0.0007842069258912801,0.00074945102171355,2.5681047144052212e-05
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,bp,305.44041748046874,321.92022752438186,343.3271424324506,312.7825500488281,320.8675843715323,16.420567024142155
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,cpsat,583.403125,580.8956197201702,596.6267385299416,586.7188720703125,586.9110888301061,6.9022333394968145
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,dc,5.6969929218292235,7.029896297596375,6.221746195693834,7.095697021484375,6.5110831091509525,0.6726562355272604
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,density,1.1582105159759521,1.1321944644795792,1.1509558164581477,1.103470015525818,1.1362077031098743,0.024423300991799707
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,fom1,61.97134474514528,55.48050595601834,60.88253489320093,62.05290697536255,60.09682314243178,3.1234501501472995
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,fp,491.6972961425781,445.20476214401316,459.7011427251374,448.24525146484376,461.2121131191431,21.260324565620856
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,mp,-20.0992112159729,-45.99820514786723,4.839685298647723,4.562883424758911,-14.173711910108374,24.224499926207386
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,tc,0.18463236093521115,0.20103000399161405,0.201286263677869,0.1911642342805862,0.19452821572132012,0.008107378860768425
CCCC(=O)OC(COC(=O)COC)COC(C)COCC,viscosity,9.61405881259962,11.923610572498394,11.286631931758851,7.4713470644825835,10.073912095334862,1.9897138520848348
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,beta,0.00074922244530166,0.00075148907952916,0.0007577744927224799,0.00077558677876364,0.0007585181990792349,1.1940255043765581e-05
